Matheus Bianqui,br BRA,LT,Coritiba,25,1998,28,17,1.420,15.8,2,1,3,2,0,0,8,0,1.7,1.7,1.3,3.0,10,41,41,0.13,0.06,0.19,0.13,0.19,0.11,0.08,0.19,0.11,0.19,Partidas
Raul Bicalho,br BRA,ZG,Bahia,23,1999,7,4,321,3.6,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,19,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Partidas
Matheus Bidu,br BRA,ZG,Corinthians,23,1999,24,19,1.659,18.4,0,0,0,0,0,0,2,0,0.4,0.4,1.4,1.8,58,88,100,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Partidas
Biel,br BRA,AT.LT,Bahia,21,2001,25,15,1.361,15.1,5,1,6,5,0,0,4,0,5.2,5.2,4.4,9.6,51,57,117,0.33,0.07,0.40,0.33,0.40,0.34,0.29,0.64,0.34,0.64,Partidas
Rafael Bilu,br BRA,AT,Cruzeiro,23,1999,4,1,86,1.0,0,0,0,0,0,0,0,0,0.7,0.7,0.8,1.4,5,2,8,0.00,0.00,0.00,0.00,0.00,0.71,0.80,1.51,0.71,1.51,Partidas
Guilherme Biro,br BRA,AT.LT,Corinthians,18,2004,11,7,572,6.4,0,0,0,0,0,0,2,0,0.7,0.7,0.5,1.3,18,18,44,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20,0.12,0.20,Partidas
Bitelo,br BRA,LT.AT,Grêmio,23,2000,19,18,1.550,17.2,4,1,5,4,0,0,1,0,3.6,3.6,3.8,7.4,39,92,132,0.23,0.06,0.29,0.23,0.29,0.21,0.22,0.43,0.21,0.43,Partidas
Paulinho Bóia,br BRA,AT,América (MG),24,1998,3,2,136,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,4,1,12,0.00,0.00,0.00,0.00,0.00,0.01,0.21,0.22,0.01,0.22,Partidas
Thiago Borbas,uy URU,AT,Bragantino,20,2002,33,10,1.428,15.9,9,2,11,9,0,0,7,1,9.2,9.2,1.1,10.4,12,25,119,0.57,0.13,0.69,0.57,0.69,0.58,0.07,0.65,0.58,0.65,Partidas
Ângelo Borges,br BRA,AT.LT,Santos,18,2004,12,5,542,6.0,2,0,2,2,0,0,1,0,1.1,1.1,1.0,2.0,26,25,38,0.33,0.00,0.33,0.33,0.33,0.18,0.16,0.33,0.18,0.33,Partidas
Daniel Borges,br BRA,ZG,América (MG),29,1993,14,8,799,8.9,0,1,1,0,0,0,1,1,0.1,0.1,1.5,1.6,19,45,37,0.00,0.11,0.11,0.00,0.11,0.01,0.17,0.18,0.01,0.18,Partidas
Daniel Borges,br BRA,ZG,Botafogo (RJ),29,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidas
Marllon Borges,br BRA,ZG,Cuiabá,30,1992,36,36,3.240,36.0,1,1,2,1,0,0,7,0,1.5,1.5,0.7,2.2,12,88,1,0.03,0.03,0.06,0.03,0.06,0.04,0.02,0.06,0.04,0.06,Partidas
Pedro Borges,br BRA,LT.AT,Fortaleza,25,1997,14,6,566,6.3,0,0,0,0,0,0,2,0,0.5,0.5,0.6,1.0,3,19,12,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Partidas
Gabriel Boschilia,br BRA,LT.AT,Coritiba,26,1996,11,3,344,3.8,1,1,2,1,0,0,1,0,1.1,1.1,0.8,1.9,10,18,20,0.26,0.26,0.52,0.26,0.52,0.29,0.21,0.50,0.29,0.50,Partidas
Lucas Braga,br BRA,ZG.AT,Santos,26,1996,27,22,1.991,22.1,0,0,0,0,0,0,5,1,0.4,0.4,0.7,1.1,64,55,89,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Partidas
David Braz,br BRA,ZG,Fluminense,35,1987,18,10,865,9.6,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,16,31,2,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.08,0.08,0.08,Partidas
Brenno,br BRA,G,Grêmio,23,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Breno,br BRA,LT,Botafogo (RJ),22,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
Breno,br BRA,AT,Palmeiras,27,1996,31,14,1.365,15.2,5,3,8,5,0,0,1,0,6.8,6.8,1.1,7.9,44,37,110,0.33,0.20,0.53,0.33,0.53,0.45,0.08,0.52,0.45,0.52,Partidas
Emanuel Brítez,ar ARG,ZG,Fortaleza,30,1992,31,31,2.761,30.7,0,1,1,0,0,0,11,1,1.0,1.0,0.6,1.6,19,86,17,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05,Partidas
Bruninho,br BRA,AT.LT,Bragantino,19,2003,16,9,715,7.9,2,1,3,2,0,0,0,0,2.7,2.7,0.6,3.3,19,36,68,0.25,0.13,0.38,0.25,0.38,0.34,0.07,0.41,0.34,0.41,Partidas
