Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,Unnamed: 36_level_0
Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas
82,Bitelo,br BRA,"LT,AT",Grêmio,23,2000,19,18,1550,172,4,1,5,4,0,0,1,0,36,36,38,7.4,39,92,132,0.23,0.06,0.29,0.23,0.29,0.21,0.22,0.43,0.21,0.43,Partidas
83,Paulinho Bóia,br BRA,AT,América (MG),24,1998,3,2,136,15,0,0,0,0,0,0,2,0,00,00,03,0.3,4,1,12,0.00,0.00,0.00,0.00,0.00,0.01,0.21,0.22,0.01,0.22,Partidas
84,Thiago Borbas,uy URU,AT,Bragantino,20,2002,33,10,1428,159,9,2,11,9,0,0,7,1,92,92,11,10.4,12,25,119,0.57,0.13,0.69,0.57,0.69,0.58,0.07,0.65,0.58,0.65,Partidas
85,Ângelo Borges,br BRA,"AT,LT",Santos,18,2004,12,5,542,60,2,0,2,2,0,0,1,0,11,11,10,2.0,26,25,38,0.33,0.00,0.33,0.33,0.33,0.18,0.16,0.33,0.18,0.33,Partidas
86,Daniel Borges,br BRA,ZG,América (MG),29,1993,14,8,799,89,0,1,1,0,0,0,1,1,01,01,15,1.6,19,45,37,0.00,0.11,0.11,0.00,0.11,0.01,0.17,0.18,0.01,0.18,Partidas
87,Daniel Borges,br BRA,ZG,Botafogo (RJ),29,1993,1,0,45,05,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidas
88,Marllon Borges,br BRA,ZG,Cuiabá,30,1992,36,36,3240,360,1,1,2,1,0,0,7,0,15,15,07,2.2,12,88,1,0.03,0.03,0.06,0.03,0.06,0.04,0.02,0.06,0.04,0.06,Partidas
89,Pedro Borges,br BRA,"LT,AT",Fortaleza,25,1997,14,6,566,63,0,0,0,0,0,0,2,0,05,05,06,1.0,3,19,12,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Partidas
90,Gabriel Boschilia,br BRA,"LT,AT",Coritiba,26,1996,11,3,344,38,1,1,2,1,0,0,1,0,11,11,08,1.9,10,18,20,0.26,0.26,0.52,0.26,0.52,0.29,0.21,0.50,0.29,0.50,Partidas
91,Lucas Braga,br BRA,"ZG,AT",Santos,26,1996,27,22,1991,221,0,0,0,0,0,0,5,1,04,04,07,1.1,64,55,89,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Partidas
92,David Braz,br BRA,ZG,Fluminense,35,1987,18,10,865,96,0,0,0,0,0,0,2,0,07,07,01,0.8,16,31,2,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.08,0.08,0.08,Partidas
93,Brenno,br BRA,G,Grêmio,23,1999,1,1,90,10,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
94,Breno,br BRA,LT,Botafogo (RJ),22,2000,1,0,10,01,0,0,0,0,0,0,0,0,00,00,00,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidas
